P,C,G,t (s),EJT,% C,S
40,50,50,133.7149777,32530.64379,0.965780567,0.80661612
40,50,50,136.0396922,32494.87745,0.892533302,0.682992663
40,50,50,136.9281325,32499.02558,0.901028403,0.693794128
40,50,50,134.0607674,32538.44415,0.981755227,0.832445086
40,50,50,137.4842706,32497.20684,0.897303743,0.686676922
40,50,50,133.6996291,32468.78153,0.839090458,0.608909099
40,50,50,130.6965406,32542.28615,0.9896234,0.85665877
40,50,50,126.6223042,32533.26227,0.97114305,0.838129847
40,50,50,131.4328828,32475.31911,0.852479017,0.633892159
40,50,50,128.9146795,32452.97899,0.806727809,0.573195628
40,50,50,123.9450798,32540.03952,0.985022435,0.871520484
40,50,50,123.6097629,32493.27488,0.889251338,0.711250636
40,50,50,122.6929338,32490.47525,0.88351786,0.704726968
40,50,50,129.3585904,32515.74884,0.935276611,0.769099468
40,50,50,134.116756,32482.73185,0.86765985,0.650066046
40,50,50,131.4524684,32522.58919,0.94928523,0.785975619
